Facility Name,Sample Point Type,PWS ID,PWS Name,Facility Water Type,Latitude,Longitude,EPA Region,State Territory or Tribe,Population Served,6:2 FTS,8:2 FTS,ADONA,HFPO-DA,NEtFOSAA,PFBA,PFBS,PFDA,PFDoA,PFHpA,PFHxA,PFHxS,PFMPA,PFNA,PFOA,PFOS,PFPeA,PFPeS,PFUnA,Grand Total
2nd Division GP Well (05G),EP,MA3067000,"CONCORD WATER DEPT, MA",GW-Groundwater,42.460874,-71.377053,01, MA,"18,156",,,,,,,3.1,,,,4.5,,,,6,,6.2,,,19.8
3083 Loop 337 (Loop GST),EP,TX0460001,NEW BRAUNFELS UTILITIES,GW-Groundwater,29.699226,-98.116416,06, TX,"70,759",,,,,,,,,,,,3,,,,,,,,3
320 Limestone Terrace,EP,TX2460157,SONTERRA MUD,GW-Groundwater,30.810867,-97.594327,06, TX,"13,650",,,,,,,5.2,,,,4.4,,,,,,11.6,,,21.2
3219 FIVE OAKS DR,EP,TX0790376,SIENNA PLANTATION MUD 3,GW-Groundwater,29.488278,-95.533169,06, TX,"7,401",,,,,,23,3.2,,,,4.7,,,,,,110,,,140.9
3BC CONSECUTIVE SYSTEM,EP,FL4060162,BCWWS 3B/C,GW-Groundwater,26.130557,-80.194632,04, FL,"32,650",,,,,,,4.9,,,,5,3.4,,,5.4,19.3,6.9,,,44.9
4010001 CIty of Columbia,EP,SC4010501,FORT JACKSON (4010501),SW-Surface Water,34.000455,-80.934717,04, SC,"32,391",,,,,,,3.8,,,,4.9,,,,5.5,6.3,5.6,,,26.1
"4253 FM 350 S Liv, TX 77351",EP,TX1870002,"CITY OF LIVINGSTON, TX",SW-Surface Water,30.709273,-94.937103,06, TX,"15,199",,,,,,9.2,5.4,,,3.6,10.6,6,,,,6.9,8.2,,,49.9
439 WSC Pump Station 6,EP,TX0140076,439 WSC,SW-Surface Water,31.085731,-97.569021,06, TX,"7,503",,,,,,7.1,,,,,,,,,,,,,,7.1
4707 RIVERSTONE CROSSING DR,EP,TX0790437,FORT BEND COUNTY MUD 129,GW-Groundwater,29.544537,-95.569203,06, TX,"3,492",,,,,,,,,,,,,,,,,6.2,,,6.2
500,EP,WI6180230,EAU CLAIRE WATERWORKS,GW-Groundwater,44.805762,-91.508069,05, WI,"66,060",,,,,,,3,,,,,9.1,,,,,,,,12.1
5700 El Dorado Blvd,EP,TX1013612,HARRIS COUNTY WCID 161,SW-Surface Water,29.612052,-95.1273,06, TX,705,,,,,,7.3,3.7,,,,6.9,3.7,,,,,7.5,,,29.1
5831 LA CREMA,EP,TX0790452,SIENNA PLANTATION MUD 10,GW-Groundwater,29.53044,-95.552566,06, TX,"7,539",,,,,,9.6,3.7,,,,5.7,,,,,,194,,,213
7023 DUSTY ROSE CIR,EP,TX0790437,FORT BEND COUNTY MUD 129,GW-Groundwater,29.544537,-95.569203,06, TX,"3,492",,,,,,,,,,,,,,,,,6.7,,,6.7
7th & Chicago,EP,CA3310031,"RIVERSIDE, CITY OF",GU-Groundwater Under Influence of Surface Water,33.931458,-117.411509,09, CA,"300,488",,,,,,,,,,,,,,,,,3.3,,,3.3
808 Central,EP,TX2200003,CITY OF BEDFORD,SW-Surface Water,32.846735,-97.135178,06, TX,"49,900",,,,,,9,4.4,,,,3.8,,,,,,4.2,,,21.4
85th St Water Tower,EP,KS2017303,"PARK CITY, CITY OF","MX-Any combination of GW, SW, and GU",37.802932,-97.326224,07, KS,"8,503",,,,,,,6.2,,,,6,7.2,,,,4.5,4.9,,,28.8
96th Street Well,EP,WA5370050,PUYALLUP CITY OF,GW-Groundwater,47.185659,-122.287799,10, WA,"36,606",,,,,,,4.4,,,,,,,,,,,,,4.4
9TH ST CLEARWELL,EP,PA6610020,GENERAL AUTHORITY OF FRANKLIN,GW-Groundwater,41.394197,-79.832703,03, PA,"8,600",,,,,,,3,,,,,,,,,,,,,3
A.B. Uzzell WTP,EP,NC0343010,"DUNN, CITY OF",SW-Surface Water,35.31003,-78.614287,04, NC,"12,088",,,,,,7,6.9,,,4.7,11,4,,,8.7,12.9,10.2,,,65.4
Aberdeen-Cliffwood Consecutive Connection,EP,NJ1209002,OLD BRIDGE MUA,SW-Surface Water,40.40964,-74.300423,02, NJ,"67,215",,,,,,,,,,,,,,,5.3,,,,,5.3
ADDICKS UTILITY DISTRICT,EP,TX1011019,ADDICKS UTILITY DISTRICT,SW-Surface Water,29.816688,-95.685619,06, TX,"7,017",,,,,,13.9,7,,,,12.2,6.4,,,,,13.5,,,53
Agate Plant,EP,CA3610043,GOLDEN STATE WATER CO - BARSTOW,GW-Groundwater,34.888722,-117.044897,09, CA,"32,328",,,,,,,,,,,,4.4,,,,,,,,4.4
Airport WTP,EP,FL5110142,IMMOKALEE WATER,GW-Groundwater,26.429789,-81.460491,04, FL,"25,838",,,,,,,,,,,,3.1,,,,8,,,,11.1
ALBIA MUNICIPAL WATER WORKS,EP,IA6803010,ALBIA MUNICIPAL WATER WORKS,SW-Surface Water,41.053828,-92.762804,07, IA,"3,721",,,,,,5.4,,,,,,,,,,,,,,5.4
Alder Well,EP,AZ0405005,SAFFORD CITY OF,GW-Groundwater,32.822147,-109.660887,09, AZ,"20,600",,,,,,,53.9,,,,,,,,,,,,,53.9
Alexander Orr WTP,EP,FL4130871,MDWASA - MAIN SYSTEM,GW-Groundwater,25.697117,-80.39628,04, FL,"2,300,000",,,,,,11,4.6,,,3.7,7.2,,,,4.4,11,11,,,52.9
Allentown Connection,EP,PA3390073,LCA WLSA CENTRAL DIVISION,SW-Surface Water,40.557249,-75.596752,03, PA,"47,693",,,,,,,,,,,,,,,,,3.5,,,3.5
ALTUS AFB,EP,OK3003303,ALTUS AFB,SW-Surface Water,34.660993,-99.275908,06, OK,"4,617",,,,,,5.9,,,,,,,,,,,,,,5.9
Amber Hill WTP,EP,FL3354883,LAKE UTILITY SERVICES INC NORTH (8 WPS),GW-Groundwater,28.501724,-81.767844,04, FL,"20,839",,,,,,,3.6,,,,,,,,,4.2,,,,7.8
Anderson Co. WA Connection,EP,TN0000322,CARYVILLE-JACKSBORO UTILITIES COMMISSION,SW-Surface Water,36.309739,-84.194728,04, TN,"11,060",,,,,,,5.2,,,,,,,,,,,,,5.2
Andover Connection (Main Street),EP,MA3213000,NORTH READING WATER DEPT.,SW-Surface Water,42.591141,-71.100722,01, MA,"15,554",,,,,,,,,,,,,,,,,3,,,3
"ANGIER, TOWN OF",EP,NC0343015,"ANGIER, TOWN OF",SW-Surface Water,35.511986,-78.735488,04, NC,"8,468",,,,,,,4.4,,,4.2,9.1,,,,8.1,13.5,9.8,,,49.1
ANGLE POND PH,EP,NH1031010,HAMPSTEAD AREA WATER,GW-Groundwater,42.828144,-71.174256,01, NH,"6,953",,,,,,,5,,,,,,,,4,,,,,9
Anita B. Smith Water TF,EP,CA3310044,RUBIDOUX COMMUNITY SD,GW-Groundwater,34.001099,-117.408337,09, CA,"36,827",,,,,,6.5,,,,,,,,,,,,,,6.5
Ann Street Well,EP,ME0090870,LISBON WATER DEPARTMENT,GW-Groundwater,44.010198,-70.063366,01, ME,"6,150",,,,,,,9.3,,,,,3.7,,,4.1,,,,,17.1
Anson County  WTP,EP,NC0304010,ANSON COUNTY WATER SYSTEM,SW-Surface Water,34.904765,-80.202494,04, NC,"13,880",,,,,,,,,,,3.8,,,,4,5.5,4.6,,,17.9
Anson County Purchase Water,EP,NC0377109,RICHMOND COUNTY WATER SYSTEM,SW-Surface Water,35.001519,-79.729857,04, NC,"22,055",,,,,,,,,,,3,,,,,4.4,3.9,,,11.3
Anson County Water Intertie,EP,NC0190413,UNION COUNTY WATER SYSTEM,SW-Surface Water,35.003308,-80.70844,04, NC,"156,055",,,,,,,,,,,3.3,,,,,4.1,4,,,11.4
APPLER,EP,PA7010022,LITTLESTOWN BORO,GW-Groundwater,39.746455,-77.087484,03, PA,"7,300",,,,,,,6.6,,,,3.7,6,,,4.5,12.9,3.4,,,37.1
Apricot St Interconnection,EP,MA2151001,CHERRY VALLEY/ ROCHDALE WATER DISTRICT,SW-Surface Water,42.23041,-71.895993,01, MA,"3,685",,,,,,,,,,,4.3,,,,,,5.6,,,9.9
AQUA ILLINOIS-UNIVERSITY PARK,EP,IL1975030,AQUA ILLINOIS-UNIVERSITY PARK,SW-Surface Water,41.445919,-87.742581,05, IL,"7,052",,,,,,,5.3,,,,,,,,,,,,,5.3
Aqua PA Interconnection,EP,PA1090079,BCWSA MAIN LOWER SOUTH,"MX-Any combination of GW, SW, and GU",40.168311,-74.93743,03, PA,"52,621",,,,,,7.1,5.6,,,3,9.5,3.1,,,6.7,5.1,14.2,,,54.3
Aquarion - Main Interconnect,EP,CT0350011,AQUARION WATER CO OF CT-NOROTON SYSTEM,SW-Surface Water,41.110175,-73.468892,01, CT,"18,737",,,,,,,,,,,,,,,4.1,,3,,,7.1
Aquarion - Stamford Interconnection,EP,CT0350011,AQUARION WATER CO OF CT-NOROTON SYSTEM,SW-Surface Water,41.110175,-73.468892,01, CT,"18,737",,,,,,,,,,,,,,,4.7,,,,,4.7
AQUARION WATER CO OF CT-RIDGEFIELD SYS,EP,CT1180011,AQUARION WATER CO OF CT-RIDGEFIELD SYS,GW-Groundwater,41.278937,-73.493119,01, CT,"7,415",,,,,,,3.2,,,,9,,,,13.2,6.1,9.1,,,40.6
Aquilla Water Supply Connection,EP,TX1090035,FILES VALLEY WSC,SW-Surface Water,32.165677,-97.073051,06, TX,"3,600",,,,,,5,,,,,,,,,,,,,,5
Archdale Treatment Plant,EP,GA1530000,"CENTERVILLE, GA",GW-Groundwater,32.641357,-83.690738,04, GA,"11,459",,,,,,,,,,,,11,,,,,,,,11
Architecture Well,EP,AZ0420423,UNIVERSITY OF ARIZONA,GW-Groundwater,32.246222,-110.948769,09, AZ,"50,000",,,,,,,,,,,4,,,,,,5.4,,,9.4
ARDMORE WATER SYSTEM,EP,AL0001420,ARDMORE WATER SYSTEM,GW-Groundwater,34.982782,-86.840982,04, AL,"3,600",,,,,,13.3,3.5,,,,,,,,9.9,19.2,3,,,48.9
ARGYLE WSC - East connection Upper Trinity GST,EP,TX0610019,ARGYLE WSC,SW-Surface Water,33.112476,-97.178084,06, TX,"8,322",,,,,,10.7,3.3,,,,4.6,,,,,,4.9,,,23.5
Arkansas City Plant,EP,KS2003509,"ARKANSAS CITY, CITY OF",GW-Groundwater,37.069017,-97.040672,07, KS,"11,929",,,,,,,,,,,,3.4,,,,4.4,,,,7.8
Armory Well,EP,MT0000259,KALISPELL PUBLIC WORKS,GW-Groundwater,48.186539,-114.301534,08, MT,"20,008",,,,,,,,,,,,3.6,,,,,,,,3.6
ARRINGTON ST. WTP,EP,FL3480913,OAKLAND TOWN OF,GW-Groundwater,28.549727,-81.6471,04, FL,"5,250",,,,,,,4.4,,,,,,,,,5.2,,,,9.6
Arthur J. Bilodeau Water TP,EP,MA4336000,WEYMOUTH WATER DEPARTMENT,GW-Groundwater,42.189754,-70.952436,01, MA,"55,998",,,,,,,,,,,,,,,,,3.1,,,3.1
As Terlaje Tank,EP,MP0000001,Commonwealth Utilities Corp (Saipan),GW-Groundwater,15.186894,145.754396,09, MP,"48,524",12.5,,,,,32.3,14.6,,,22.9,121.6,19.6,,,,24.1,133.8,5.4,,386.8
Ashdale Meter,EP,VA6153625,DALE CITY,SW-Surface Water,38.652761,-77.347668,03, VA,"72,062",,,,,,11.3,5.2,,,3.9,9.6,,,,4.7,4.5,10.7,,,49.9
Atlanta,EP,GA0630000,CLAYTON COUNTY WATER AUTHORITY,SW-Surface Water,33.537571,-84.312038,04, GA,"298,374",,,,,,,,,,,,,,,,,3.3,,,3.3
Auger Plant,EP,TX0700005,CITY OF MIDLOTHIAN,SW-Surface Water,32.420719,-96.993226,06, TX,"21,450",,,,,,6.7,,,,,3.1,,,,,,3.5,,,13.3
AUSTELL,EP,GA0670001,AUSTELL,SW-Surface Water,33.846096,-84.670724,04, GA,"7,774",,,,,,,3.4,,,,,,,,,,,,,3.4
Austin Interconnect,EP,TX2270264,NORTHTOWN MUD,SW-Surface Water,30.423795,-97.64581,06, TX,"11,520",,,,,,5.9,,,,,,,,,,,,,,5.9
AYDEN TOWN OF,EP,NC0474025,AYDEN TOWN OF,SW-Surface Water,35.468221,-77.422667,04, NC,"6,366",,,,,,6.6,3.2,,,,4.1,3.6,,,4.3,9.4,4.6,,,35.8
B H P WSC,EP,TX1160015,B H P WSC,SW-Surface Water,32.993666,-96.229385,06, TX,"5,966",,,,,,,5.3,,,,7.1,,,,,,8.9,,,21.3
Ball Park Wells Treatment,EP,WA5307650,BONNEY LAKE WATER DEPARTMENT CITY,GW-Groundwater,47.196593,-122.172528,10, WA,"38,307",,,,,,,3.3,,,,,,,,,,,,,3.3
BARKER CYPRESS MUD,EP,TX1011613,BARKER CYPRESS MUD,SW-Surface Water,29.853031,-95.66624,06, TX,"7,977",,,,,,11.9,,,,,7.6,,,,,,7.5,,,27
BARNESVILLE,EP,GA1710000,"BARNESVILLE, GA",SW-Surface Water,33.054757,-84.159072,04, GA,"10,725",,,,,,,3.2,,,,3.2,,,,,,3.9,,,10.3
BARNESVILLE,,OH0700011,"BARNESVILLE, OH",SW-Surface Water,39.988783,-81.178964,05, OH,"6,500",,,,,,,,,,,,,,,8.1,,,,,8.1
Batavia City WTP,EP,NY1800544,BATAVIA CITY,GU-Groundwater Under Influence of Surface Water,42.99866,-78.180061,02, NY,"15,475",70,,,,,,,,,,,,,,,,,,,70
BATESBURG LEESVILLE DPW (3210002),EP,SC3210002,BATESBURG LEESVILLE DPW (3210002),SW-Surface Water,33.905827,-81.546183,04, SC,"6,202",,,,,,,,,,,3.2,,,,8.9,15,,,,27.1
Bauer Well,EP,ME0090870,LISBON WATER DEPARTMENT,GW-Groundwater,44.010198,-70.063366,01, ME,"6,150",,,,,,,,,,,,13.2,,,,,,,,13.2
Bayside Pump District 01,EP,DE00A0837,BAYSIDE PUMP DISTRICT,GW-Groundwater,38.45407,-75.128037,03, DE,"8,400",,,,,,8,,,,,3.6,,,,,,13.5,,,25.1
Baytown Area Water Authority,EP,TX1010003,CITY OF BAYTOWN,SW-Surface Water,29.764969,-94.971051,06, TX,"83,701",,,,,,10.1,5.1,,,3.2,9.5,4.5,,,,5.9,10.2,,,48.5
BEAR CREEK SUD,EP,TX0430037,BEAR CREEK SUD,SW-Surface Water,33.004576,-96.426699,06, TX,"10,518",,,,,,16,,,,,,,,,,,,,,16
BEAR HILL WELLS (SARGENT'S PIT),EP,MA3180000,MERRIMAC WATER DEPARTMENT,GW-Groundwater,42.838103,-71.009081,01, MA,"7,072",,,,,,,,,,,,,,,5.6,,,,,5.6
BEAR TAVERN SCHOOL,EP,NJ1106316,BEAR TAVERN SCHOOL,GW-Groundwater,40.315492,-74.857016,02, NJ,555,,,,,,14.2,,,,6,10.3,3.2,,6.5,14.7,38.1,13.8,,,106.8
Beasley Pump Station,EP,TX1780006,NUECES COUNTY WCID 4,SW-Surface Water,27.770517,-97.118018,06, TX,"14,880",,,,,,7.6,,,,,,,,,,,,,,7.6
BEAVER FALLS,EP,PA5100093,ZELIENOPLE BORO,SW-Surface Water,40.791195,-80.140892,03, PA,"4,123",,,,,,,8.4,,,,3.5,,,,,,,,,11.9
Bedford Ave. Connection,EP,PA3060067,SHILLINGTON MUNI AUTH,SW-Surface Water,40.297967,-75.978013,03, PA,"11,709",,,,,,,3.8,,,,,,,,,,3.3,,,7.1
BELFAST WATER DISTRICT,EP,ME0090140,BELFAST WATER DISTRICT,GW-Groundwater,44.418515,-69.005521,01, ME,"5,698",,,,,,5.7,,,,,5.9,,,,,,3.3,,,14.9
BELFOREST WATER SYSTEM,EP,AL0000025,BELFOREST WATER SYSTEM,GW-Groundwater,30.594314,-87.827462,04, AL,"17,268",,,,,,7.3,8.5,,,,4.1,4.1,,,4.5,4.2,5,,,37.7
Bell County WCID Intertie,EP,TX0140023,CITY OF HARKER HEIGHTS,SW-Surface Water,31.059386,-97.643018,06, TX,"34,834",,,,,,8,,,,,,,,,,,,,,8
bell st water plant,EP,FL6280049,"AVON PARK, CITY OF",GW-Groundwater,27.596594,-81.504996,04, FL,"18,561",,,,,,,,,,,,3,,,,4,,,,7
Belmont,EP,PA1510001,PHILADELPHIA WATER DEPARTMENT,SW-Surface Water,40.007042,-75.134144,03, PA,"1,600,000",,,,,,6.2,6.5,,,3,8.4,,,4.5,7.4,5.2,9,,,50.2
Belmont Water Plant,EP,NC0136015,"BELMONT, CITY OF",SW-Surface Water,35.237516,-81.039777,04, NC,"15,010",,,,,,,,,,,3.1,,,,,,3.4,,,6.5
"BESSEMER CITY, CITY OF",EP,NC0136025,"BESSEMER CITY, CITY OF",SW-Surface Water,35.286287,-81.282517,04, NC,"5,500",,,,,,,,,,6.3,10,,,,4.7,,15,,,36
Bessemer GUSC Intertie,EP,AL0000737,BESSEMER WATER SERVICE,SW-Surface Water,33.37056,-86.98234,04, AL,"86,091",,,,,,5.6,3.4,,,,5.7,,,,,5.7,7.7,,,28.1
Bessemer Water Intertie,EP,AL0001148,ALABASTER WATER BOARD,SW-Surface Water,33.222519,-86.830425,04, AL,"41,061",,,,,,5.6,4.2,,,,5.6,,,,4.8,6.9,7.7,,,34.8
Bethalto Interconnection,EP,IL1195250,MORO PWD,GW-Groundwater,-,-,05, IL,-,,,,,,,3.4,,,,,3.6,,,,,,,,7
BETHEL WATER DEPT WELLS,EP,CT0090011,BETHEL WATER DEPT,GW-Groundwater,41.370146,-73.412673,01, CT,"9,507",,,,,,,3.9,,,,,,,,5.9,,3,,,12.8
Betti Well,EP,WA5343500,LACEY WATER DEPARTMENT,GW-Groundwater,47.028075,-122.810845,10, WA,"85,727",,,,,,,4.2,,,,9.8,,,,,,18.8,,,32.8
Beverly Pit,EP,NJ0721001,WEST CALDWELL WATER DEPARTMENT,SW-Surface Water,40.850028,-74.291881,02, NJ,"10,759",,,,,,,,,,,3.1,,,,8.3,4.3,3,,,18.7
Beverly Road Plant,EP,NJ0306001,BURLINGTON TWP W DEPT,GW-Groundwater,40.047964,-74.846589,02, NJ,"22,594",,,,,,,7.4,,,4,5.6,4,,,18.5,6.7,5,,,51.2
Beverly/Salem Water Intertie,EP,MA3030000,BEVERLY WATER DEPT,SW-Surface Water,42.564314,-70.883363,01, MA,"47,461",,,,,,,,,,,3.6,,,,,,4.1,,,7.7
Beverly/Salem Water Intertie,,MA3258000,"SALEM WATER DEPARTMENT, MA",SW-Surface Water,42.512448,-70.903054,01, MA,"44,480",,,,,,,,,,,3.7,,,,,,4.2,,,7.9
BG797,EP,WI1540112,BELOIT CITY OF,GW-Groundwater,42.525746,-89.026224,05, WI,"37,110",,,,,,,3,,,,,,,,,,,,,3
Big Elk Creek Filter Plant,EP,MD0070011,TOWN OF ELKTON,SW-Surface Water,39.619118,-75.817829,03, MD,"15,625",,,,,,,,,,,4.3,,,,4.7,,3.9,,,12.9
BIG FLATS WATER DISTRICT 5,EP,NY0701011,BIG FLATS WATER DISTRICT 5,GW-Groundwater,42.142223,-76.916972,02, NY,"8,489",,,,,,,,,,,,,,,,,4.8,,,4.8
Big Park Well 3,EP,AZ0413012,BIG PARK WATER COMPANY,GW-Groundwater,34.78368,-111.760747,09, AZ,"7,360",,,,,,,4.1,,,,4.6,,,,,,4.6,,,13.3
Bigelow Road TP Station 3,EP,MA2316000,WEBSTER WATER DEPARTMENT,GW-Groundwater,42.056083,-71.871198,01, MA,"17,776",,,,,,,,,,,3,,,,4.4,,4.8,,,12.2
BIRKBECK ST,EP,PA2400054,FREELAND BORO MUNI WATER AUTH,GW-Groundwater,41.018227,-75.901784,03, PA,"4,610",,,,,,,3,,,,,,,,,9.1,3.4,,,15.5
Black Rock Plant,EP,TX1010720,HARRIS COUNTY MUD 53,SW-Surface Water,29.801692,-95.151628,06, TX,"17,856",,,,,,7.4,,,,,,,,,,,,,,7.4
BLACKLAND WSC,EP,TX1990004,BLACKLAND WSC,SW-Surface Water,32.868139,-96.327493,06, TX,"5,217",,,,,,10.2,,,,,,,,,,,,,,10.2
BLDG #13/13B,EP,PA1461065,MERCK AND CO INC,SW-Surface Water,40.218411220009,-75.299870547026,03, PA,"8,550",,,,,,5.2,,,,,,,,,,,,,,5.2
Bldg 1001,EP,TX2260027,GOODFELLOW AIR FORCE BASE,SW-Surface Water,31.432206,-100.404334,06, TX,"5,241",,,,,,11.1,6.9,,,,,8.3,,,,,,,,26.3
Bldg 337,EP,NM3567905,CANNON AIR FORCE BASE WATER SYSTEM,GW-Groundwater,34.386583,-103.31698,06, NM,"7,832",,,,,,20,15,,,6,28,13,,,,,42,5.7,,129.7
Bldg 3524,EP,TX2260027,GOODFELLOW AIR FORCE BASE,SW-Surface Water,31.432206,-100.404334,06, TX,"5,241",,,,,,10.1,7.6,,,,,7.9,,,,,,,,25.6
Bldg. 680- Booster-3,EP,GU0000009,ANDERSEN AIR FORCE BASE WATER SYSTEM,GW-Groundwater,13.567326,144.878059,09, GU,"7,700",,,,,,,,,,,,3.4,,,,,,,,3.4
Blend Point,EP,CA3610001,"ADELANTO, CITY OF",GW-Groundwater,34.581538,-117.418504,09, CA,"39,930",,,,,,,,,,,,4.7,,,,4.3,,,,9
Blendline 3310026-013,EP,CA3310026,NUEVO WATER COMPANY,SW-Surface Water,33.808502,-117.135822,09, CA,"6,733",,,,,,,,,,,4.1,4.4,,,6.9,4.6,3.7,,,23.7
BLISSFIELD,EP,MI0000750,BLISSFIELD,SW-Surface Water,41.828563,-83.863856,05, MI,"3,276",,,,,,5.5,,,,,,,,,,,,,,5.5
Blooms Quarry Vault - PWCSA,EP,VA6687100,"MANASSAS PARK, CITY OF",SW-Surface Water,38.773115,-77.468186,03, VA,"14,051",,,,,,,,,,,,,,,,,3,,,3
Board of Public Works pump station,EP,SC1120002,GRASSY POND WATER CO (1120002),SW-Surface Water,34.996169,-81.61372,04, SC,"9,458",,,,,,,,,,4.4,4.5,4.4,,,15,18,5.6,,,51.9
Bobby Ballard Pump Station,EP,TX0570034,CITY OF CARROLLTON,SW-Surface Water,32.988906,-96.89995,06, TX,"136,170",,,,,,6.5,,,,,4.2,,,,,,4.4,,,15.1
Boerne Water TP,EP,TX1300001,CITY OF BOERNE,SW-Surface Water,29.765953,-98.733223,06, TX,"22,287",,,,,,5,,,,,,,,,,,,,,5
BOILER BDG WELLS 1 2,EP,PA1090962,BUCKS COUNTY COMMUNITY COLLEGE,GW-Groundwater,40.260594,-74.93707,03, PA,"8,000",,,,,,,,,,,,,,,7.1,,,,,7.1
BOND/MADISON WATER COMPANY,EP,IL0050020,BOND/MADISON WATER COMPANY,SW-Surface Water,38.824427,-89.542821,05, IL,"6,838",,,,,,12,,,,,3.5,,,,,,3.6,,,19.1
"Bonita Springs, Well #15",EP,AZ0405005,SAFFORD CITY OF,GW-Groundwater,32.822147,-109.660887,09, AZ,"20,600",,,,,,,6.4,,,,,,,,,,,,,6.4
BOONTON WATER DEPT,EP,NJ1401001,BOONTON WATER DEPT,SW-Surface Water,40.907192,-74.408176,02, NJ,"9,532",,,,,,,,,,,3.3,,,,10,5.5,3,,,21.8
Booster Pump Station,EP,MA2228000,PAXTON WATER DEPARTMENT,SW-Surface Water,42.306625,-71.936601,01, MA,"4,300",,,,,,,,,,,3.1,,,,,,4,,,7.1
